명칭,대분류,중분류
AI기반최적설계,기술,기술
데이터기반모델링,기술,기술
시뮬레이션,기술,기술
전자회로부품설계,기술,기술
전원회로설계,기술,기술
제어회로설계,기술,기술
측정회로설계,기술,기술
통신회로설계,기술,기술
BMS회로공정,기술,기술
SW개발프로세스,기술,기술
네트워크,기술,기술
배터리진단,기술,기술
배터리신호처리,기술,기술
배터리신호제어,기술,기술
Cell Modeling,기술,기술
Numerical Optimization,기술,기술
BMS Sox 알고리즘구현,기술,기술
SoX알고리즘Design,기술,기술
AI알고리즘,기술,기술
AI엔진,기술,기술
부품유해물질분석,기술,기술
전기적특성평가,기술,기술
내구성평가,기술,기술
Visualinspection,기술,기술
SW검증,기술,기술
셀평가,기술,기술
전장부품설계,기술,기술
기능안전,기술,기술
배터리사용패턴분석,기술,기술
배터리잔존율모델링,기술,기술
배터리System설계,기술,기술
Augmentation운영설계,기술,기술
시스템전기적분석,기술,기술
운영기록분석,기술,기술
5G통신,기술,기술
6G통신,기술,기술
AI기반,기술,기술
P2P,기술,기술
가상세계,기술,기술
감시기술,기술,기술
개방형혁신,기술,기술
개인맞춤형의료기술,기술,기술
개인지능화,기술,기술
공공지능화,기술,기술
기술변혁,기술,기술
기술변화,기술,기술
기술융합,기술,기술
나노,기술,기술
나노기술,기술,기술
넥스트딥러닝,기술,기술
농업농촌첨단화,기술,기술
데이터접근성,기술,기술
도시인프라,기술,기술
디지털건설기술,기술,기술
디지털문화기술,기술,기술
디지털콘텐츠,기술,기술
디지털트윈,기술,기술
디지털화,기술,기술
로보틱스,기술,기술
로봇기술,기술,기술
모니터링기술,기술,기술
모빌리티진화,기술,기술
무인화,기술,기술
바이오기술,기술,기술
바이오컴퓨터,기술,기술
병충해치료,기술,기술
분자기술,기술,기술
블록체인,기술,기술
사이버물리시스템,기술,기술
사이버보안,기술,기술
사이버위협,기술,기술
산업지능화,기술,기술
기반기술,기술,기술
센싱기술,기술,기술
소재연구,기술,기술
스마트교통시스템,기술,기술
스마트기반시설물관리,기술,기술
스마트워크,기술,기술
알고리즘거버넌스,기술,기술
엣지컴퓨팅,기술,기술
오프라인,기술,기술
온라인,기술,기술
유전자교정기술,기술,기술
유전자기술,기술,기술
이미징기술,기술,기술
자동화,기술,기술
지능화,기술,기술
질병치료,기술,기술
차세대컴퓨팅,기술,기술
첨단신교통수단,기술,기술
초고속통신기술,기술,기술
초연결,기술,기술
퀀텀컴퓨터,기술,기술
클라우딩,기술,기술
화상회의,기술,기술
데이터,기술,기술
정보,기술,기술
기술,기술,기술
문화기술,기술,기술
사회기술,기술,기술
교통기술,기술,기술
국방기술,기술,기술
정보통신,기술,기술
혁신,기술,기술
첨단,기술,기술
크로스오버,기술,기술
현장단속,사건/사고,사건/사고
계약취소,사건/사고,사건/사고
자격정지,사건/사고,사건/사고
장벽규제,사건/사고,사건/사고
금지조치,사건/사고,사건/사고
행정처분,사건/사고,사건/사고
샌드박스,사건/사고,사건/사고
팬데믹,사건/사고,사건/사고
독과점,사건/사고,사건/사고
이익감소,사건/사고,사건/사고
경영악재,사건/사고,사건/사고
교착상태,사건/사고,사건/사고
반독점,사건/사고,사건/사고
조업중단,사건/사고,사건/사고
생존위기,사건/사고,사건/사고
화재,사건/사고,사건/사고
가동중단,사건/사고,사건/사고
파업,사건/사고,사건/사고
가처분신청,사건/사고,사건/사고
가치하락,사건/사고,사건/사고
각하결정,사건/사고,사건/사고
강경대응,사건/사고,사건/사고
강제매각,사건/사고,사건/사고
강제이주,사건/사고,사건/사고
강제인증,사건/사고,사건/사고
강제조치,사건/사고,사건/사고
거액소송,사건/사고,사건/사고
거짓공시,사건/사고,사건/사고
경기하락,사건/사고,사건/사고
경조치,사건/사고,사건/사고
경찰조사,사건/사고,사건/사고
계도조치,사건/사고,사건/사고
계약포기,사건/사고,사건/사고
공동소송,사건/사고,사건/사고
공장폐쇄,사건/사고,사건/사고
과잉대응,사건/사고,사건/사고
관세인상,사건/사고,사건/사고
기술탈취,사건/사고,사건/사고
긴급대응,사건/사고,사건/사고
긴급대출,사건/사고,사건/사고
긴급명령,사건/사고,사건/사고
긴급수입제한조치,사건/사고,사건/사고
긴급재난지원,사건/사고,사건/사고
긴급조치,사건/사고,사건/사고
긴급지원,사건/사고,사건/사고
긴급투입,사건/사고,사건/사고
뇌물공여,사건/사고,사건/사고
다중대표소송,사건/사고,사건/사고
대북제재,사건/사고,사건/사고
대표소송,사건/사고,사건/사고
덤핑조사,사건/사고,사건/사고
리콜명령,사건/사고,사건/사고
마이너스대출,사건/사고,사건/사고
매출하락,사건/사고,사건/사고
면허취소,사건/사고,사건/사고
명도소송,사건/사고,사건/사고
명소소송,사건/사고,사건/사고
무진행,사건/사고,사건/사고
무허가,사건/사고,사건/사고
무효소송,사건/사고,사건/사고
물가상승,사건/사고,사건/사고
물가상승률,사건/사고,사건/사고
민사소송,사건/사고,사건/사고
밀거래,사건/사고,사건/사고
밀수출,사건/사고,사건/사고
반독점조사,사건/사고,사건/사고
배제명령,사건/사고,사건/사고
법적조치,사건/사고,사건/사고
법정관리,사건/사고,사건/사고
법정소송,사건/사고,사건/사고
보복조치,사건/사고,사건/사고
보상협의,사건/사고,사건/사고
보완조사,사건/사고,사건/사고
보완조치,사건/사고,사건/사고
보전조치,사건/사고,사건/사고
보정명령,사건/사고,사건/사고
본소송,사건/사고,사건/사고
본안소송,사건/사고,사건/사고
봉쇄명령,사건/사고,사건/사고
봉쇄조치,사건/사고,사건/사고
부정거래,사건/사고,사건/사고
불공정거래,사건/사고,사건/사고
불공정경쟁,사건/사고,사건/사고
불법대출,사건/사고,사건/사고
불법합병,사건/사고,사건/사고
불성실공시,사건/사고,사건/사고
불승인,사건/사고,사건/사고
비상경제대응책,사건/사고,사건/사고
비상경제조치들,사건/사고,사건/사고
비상대응,사건/사고,사건/사고
비상승인,사건/사고,사건/사고
비상조치,사건/사고,사건/사고
비용상승,사건/사고,사건/사고
비용확대,사건/사고,사건/사고
사고대응,사건/사고,사건/사고
사전예방조치,사건/사고,사건/사고
상장폐지결정,사건/사고,사건/사고
상향조치,사건/사고,사건/사고
세무조사,사건/사고,사건/사고
소폭하락,사건/사고,사건/사고
소환조사,사건/사고,사건/사고
손상조사,사건/사고,사건/사고
손실보상협의,사건/사고,사건/사고
손실보전협상,사건/사고,사건/사고
손실확대,사건/사고,사건/사고
수급대란,사건/사고,사건/사고
수입제한조치,사건/사고,사건/사고
수직하락,사건/사고,사건/사고
수출규제조치,사건/사고,사건/사고
시장안정조치,사건/사고,사건/사고
시정명령,사건/사고,사건/사고
신뢰하락,사건/사고,사건/사고
신용하락,사건/사고,사건/사고
신주발행무효소송,사건/사고,사건/사고
실업대란,사건/사고,사건/사고
악재공시,사건/사고,사건/사고
안전조치,사건/사고,사건/사고
엄정조치,사건/사고,사건/사고
업무개시명령,사건/사고,사건/사고
여행조치,사건/사고,사건/사고
영장청구,사건/사고,사건/사고
외출금지명령,사건/사고,사건/사고
위기대응,사건/사고,사건/사고
위험대응,사건/사고,사건/사고
음성명령,사건/사고,사건/사고
응급조치,사건/사고,사건/사고
의료대란,사건/사고,사건/사고
의료대응조치,사건/사고,사건/사고
의료소송,사건/사고,사건/사고
의료조치,사건/사고,사건/사고
의류통제명령,사건/사고,사건/사고
이동제한조치,사건/사고,사건/사고
이면계약,사건/사고,사건/사고
이상거래,사건/사고,사건/사고
이상거래탐지,사건/사고,사건/사고
이상금융거래탐지,사건/사고,사건/사고
이익미실현,사건/사고,사건/사고
이중대표소송,사건/사고,사건/사고
인력대란,사건/사고,사건/사고
일시폐쇄,사건/사고,사건/사고
임상실패,사건/사고,사건/사고
임상중단,사건/사고,사건/사고
임시보호명령,사건/사고,사건/사고
임시폐쇄,사건/사고,사건/사고
입법조치,사건/사고,사건/사고
자본시장법위반,사건/사고,사건/사고
작업명령,사건/사고,사건/사고
재난대응,사건/사고,사건/사고
재택명령,사건/사고,사건/사고
재해대응,사건/사고,사건/사고
전세대란,사건/사고,사건/사고
정식보호명령,사건/사고,사건/사고
정언명령,사건/사고,사건/사고
정지명령,사건/사고,사건/사고
제한조치,사건/사고,사건/사고
조기폐쇄,사건/사고,사건/사고
주가하락,사건/사고,사건/사고
주가하락률,사건/사고,사건/사고
주가하락폭,사건/사고,사건/사고
주식하락,사건/사고,사건/사고
주주명부폐쇄,사건/사고,사건/사고
줄소송,사건/사고,사건/사고
줄취소,사건/사고,사건/사고
중도포기,사건/사고,사건/사고
지급명령,사건/사고,사건/사고
지수하락,사건/사고,사건/사고
지원조치,사건/사고,사건/사고
직장폐쇄,사건/사고,사건/사고
질병대응,사건/사고,사건/사고
집단소송,사건/사고,사건/사고
집합금지명령,사건/사고,사건/사고
집회금지명령,사건/사고,사건/사고
차단조치,사건/사고,사건/사고
청구소송,사건/사고,사건/사고
초과계약,사건/사고,사건/사고
추가조치,사건/사고,사건/사고
추가하락,사건/사고,사건/사고
추심명령,사건/사고,사건/사고
추징보전청구,사건/사고,사건/사고
출혈경쟁,사건/사고,사건/사고
취소소송,사건/사고,사건/사고
취소신청,사건/사고,사건/사고
탈포기,사건/사고,사건/사고
특단조치,사건/사고,사건/사고
특별조치법,사건/사고,사건/사고
특별행정조치,사건/사고,사건/사고
특허무효소송,사건/사고,사건/사고
특허소송,사건/사고,사건/사고
특허침해소송,사건/사고,사건/사고
파산보호신청,사건/사고,사건/사고
파산신청,사건/사고,사건/사고
판매대란,사건/사고,사건/사고
폐쇄명령,사건/사고,사건/사고
폐쇄조치,사건/사고,사건/사고
폐지대란,사건/사고,사건/사고
피해지원,사건/사고,사건/사고
하락국면,사건/사고,사건/사고
하락기,사건/사고,사건/사고
하락률,사건/사고,사건/사고
하락새,사건/사고,사건/사고
하락세,사건/사고,사건/사고
하락속도,사건/사고,사건/사고
하락요인,사건/사고,사건/사고
하락장,사건/사고,사건/사고
하락중,사건/사고,사건/사고
하락추세,사건/사고,사건/사고
하락폭,사건/사고,사건/사고
합병무효소송,사건/사고,사건/사고
행정명령,사건/사고,사건/사고
행정소송,사건/사고,사건/사고
행정조치,사건/사고,사건/사고
허가취소,사건/사고,사건/사고
현장검증,사건/사고,사건/사고
현장검출,사건/사고,사건/사고
혈세투입,사건/사고,사건/사고
협상결렬,사건/사고,사건/사고
협상중단,사건/사고,사건/사고
환경개선명령,사건/사고,사건/사고
환불조치,사건/사고,사건/사고
환수조치,사건/사고,사건/사고
회수명령,사건/사고,사건/사고
회수조치,사건/사고,사건/사고
회수폐기명령,사건/사고,사건/사고
후속조치,사건/사고,사건/사고
후속조치등,사건/사고,사건/사고
소송,사건/사고,사건/사고
축소,사건/사고,사건/사고
논란,사건/사고,사건/사고
중단,사건/사고,사건/사고
반대,사건/사고,사건/사고
위기,사건/사고,사건/사고
비상,사건/사고,사건/사고
차질,사건/사고,사건/사고
분쟁,사건/사고,사건/사고
연기,사건/사고,사건/사고
매각,사건/사고,사건/사고
갈등,사건/사고,사건/사고
노조,사건/사고,사건/사고
공격,사건/사고,사건/사고
반덤핑,사건/사고,사건/사고
휴업,사건/사고,사건/사고
이탈,사건/사고,사건/사고
우려,사건/사고,사건/사고
운휴,사건/사고,사건/사고
침해,사건/사고,사건/사고
철수,사건/사고,사건/사고
공방,사건/사고,사건/사고
겨냥,사건/사고,사건/사고
노사,사건/사고,사건/사고
불공정,사건/사고,사건/사고
리스크,사건/사고,사건/사고
장애물,사건/사고,사건/사고
위반,사건/사고,사건/사고
제동,사건/사고,사건/사고
반발,사건/사고,사건/사고
저조,사건/사고,사건/사고
제소,사건/사고,사건/사고
경고,사건/사고,사건/사고
진화,사건/사고,사건/사고
안간힘,사건/사고,사건/사고
폭등,사건/사고,사건/사고
급발진,사건/사고,사건/사고
오동작,사건/사고,사건/사고
인재,사건/사고,사건/사고
체불,사건/사고,사건/사고
감시,사건/사고,사건/사고
무기,사건/사고,사건/사고
난항,사건/사고,사건/사고
어려움,사건/사고,사건/사고
경보,사건/사고,사건/사고
쟁점,사건/사고,사건/사고
수수료,사건/사고,사건/사고
폭력,사건/사고,사건/사고
파산,사건/사고,사건/사고
직격탄,사건/사고,사건/사고
악재,사건/사고,사건/사고
무단,사건/사고,사건/사고
격화,사건/사고,사건/사고
무용지물,사건/사고,사건/사고
순찰,사건/사고,사건/사고
과열,사건/사고,사건/사고
전면전,사건/사고,사건/사고
손실,사건/사고,사건/사고
질병,사건/사고,사건/사고
철거,사건/사고,사건/사고
해임,사건/사고,사건/사고
항소,사건/사고,사건/사고
유찰,사건/사고,사건/사고
해체,사건/사고,사건/사고
퇴출,사건/사고,사건/사고
연루,사건/사고,사건/사고
곤혹,사건/사고,사건/사고
비난,사건/사고,사건/사고
침입,사건/사고,사건/사고
고비,사건/사고,사건/사고
타격,사건/사고,사건/사고
불똥,사건/사고,사건/사고
파열,사건/사고,사건/사고
장악,사건/사고,사건/사고
냉전,사건/사고,사건/사고
보복,사건/사고,사건/사고
경직,사건/사고,사건/사고
둔화,사건/사고,사건/사고
안개,사건/사고,사건/사고
비상제동,사건/사고,사건/사고
EMERGENCY,사건/사고,사건/사고
손절,사건/사고,사건/사고
억측,사건/사고,사건/사고
무산,사건/사고,사건/사고
노후,사건/사고,사건/사고
금품,사건/사고,사건/사고
영리,사건/사고,사건/사고
블랙리스트,사건/사고,사건/사고
기각,사건/사고,사건/사고
폐점,사건/사고,사건/사고
적발,사건/사고,사건/사고
폐허,사건/사고,사건/사고
추돌,사건/사고,사건/사고
긴장,사건/사고,사건/사고
거부,사건/사고,사건/사고
난관,사건/사고,사건/사고
해고,사건/사고,사건/사고
야기,사건/사고,사건/사고
특허분쟁,사건/사고,사건/사고
불화,사건/사고,사건/사고
감축,사건/사고,사건/사고
채무,사건/사고,사건/사고
보상,사건/사고,사건/사고
국제중재,사건/사고,사건/사고
부진,사건/사고,사건/사고
도용,사건/사고,사건/사고
부당,사건/사고,사건/사고
피해,사건/사고,사건/사고
혐의,사건/사고,사건/사고
무시,사건/사고,사건/사고
악의,사건/사고,사건/사고
응급,사건/사고,사건/사고
취약,사건/사고,사건/사고
순손실,사건/사고,사건/사고
법정,사건/사고,사건/사고
위협,사건/사고,사건/사고
상실,사건/사고,사건/사고
응징,사건/사고,사건/사고
허약,사건/사고,사건/사고
대가,사건/사고,사건/사고
유발,사건/사고,사건/사고
교통사고,사건/사고,사건/사고
특단,사건/사고,사건/사고
애로,사건/사고,사건/사고
적자,사건/사고,사건/사고
가중,사건/사고,사건/사고
바이러스,사건/사고,사건/사고
감염,사건/사고,사건/사고
4M변경이전품출하,사건/사고,사건/사고
가동정지,사건/사고,사건/사고
고객불만,사건/사고,사건/사고
대응,사건/사고,사건/사고
라인정지,사건/사고,사건/사고
무효가동,사건/사고,사건/사고
반품,사건/사고,사건/사고
변제,사건/사고,사건/사고
부적합보고서,사건/사고,사건/사고
부적합자재,사건/사고,사건/사고
불만,사건/사고,사건/사고
불용,사건/사고,사건/사고
불용재고,사건/사고,사건/사고
비상계획,사건/사고,사건/사고
사고,사건/사고,사건/사고
셧다운,사건/사고,사건/사고
시정조치,사건/사고,사건/사고
시정조치보고서,사건/사고,사건/사고
시정조치요구서,사건/사고,사건/사고
악화,사건/사고,사건/사고
에러,사건/사고,사건/사고
재발,사건/사고,사건/사고
재작업,사건/사고,사건/사고
저품질비용,사건/사고,사건/사고
전복,사건/사고,사건/사고
침수,사건/사고,사건/사고
침수라벨,사건/사고,사건/사고
클레임,사건/사고,사건/사고
트러블,사건/사고,사건/사고
홀딩,사건/사고,사건/사고
비엠,사건/사고,사건/사고
리콜,사건/사고,사건/사고
Mobility-as-a-Service,서비스,서비스
공유,서비스,서비스
구독,서비스,서비스
렌트,서비스,서비스
리사이클,서비스,서비스
리스,서비스,서비스
교통,서비스,서비스
배송,서비스,서비스
배터리교환,서비스,서비스
배터리재활용,서비스,서비스
주차,서비스,서비스
카쉐어링,서비스,서비스
플랫폼,서비스,서비스
인프라,서비스,서비스
도로,서비스,서비스
인터넷,서비스,서비스
전송,서비스,서비스
차선,서비스,서비스
트래픽,서비스,서비스
주차장,서비스,서비스
발렛,서비스,서비스
파킹,서비스,서비스
주유소,서비스,서비스
원격,서비스,서비스
항만,서비스,서비스
AS,서비스,서비스
택배,서비스,서비스
주유,서비스,서비스
기지국,서비스,서비스
통운,서비스,서비스
정유,서비스,서비스
정류장,서비스,서비스
승강장,서비스,서비스
터널,서비스,서비스
포털,서비스,서비스
고속도로,서비스,서비스
방재,서비스,서비스
방범,서비스,서비스
통신망,서비스,서비스
교통량,서비스,서비스
운행량,서비스,서비스
정거장,서비스,서비스
휴게소,서비스,서비스
메신저,서비스,서비스
매크로,서비스,서비스
틱톡,서비스,서비스
통신회의,서비스,서비스
시큐리티,서비스,서비스
급속,서비스,서비스
티맵,서비스,서비스
디지털판매플랫폼,서비스,서비스
국토시설물안전망,서비스,서비스
국가자원통합관리,서비스,서비스
생물정화,서비스,서비스
예측대비,서비스,서비스
기후예측,서비스,서비스
사막녹지화,서비스,서비스
배출권거래,서비스,서비스
공기정화,서비스,서비스
공기판매,서비스,서비스
전주기탄소배출관리,서비스,서비스
온라인대선투표,서비스,서비스
홀로그램화상회의,서비스,서비스
도심주거지소음차단,서비스,서비스
개인건강관리,서비스,서비스
1인가구타깃,서비스,서비스
언어문화배움,서비스,서비스
우주관광,서비스,서비스
해저관광,서비스,서비스
도시관리,서비스,서비스
프라이버시보호,서비스,서비스
지식큐레이션,서비스,서비스
지식공유,서비스,서비스
질병예측진단치료,서비스,서비스
AI튜터,서비스,서비스
친환경축사관리,서비스,서비스
신재생에너지거래,서비스,서비스
교통흐름최적화,서비스,서비스
비상전원발전,서비스,서비스
교통사고예방,서비스,서비스
Business to Consumer,서비스,서비스
business-to-business,서비스,서비스
배터리교체,서비스,서비스
배터리재사용,서비스,서비스
쾌속배송,서비스,서비스
돌봄,서비스,서비스
스마트도로망,서비스,서비스
지능형교통체계,서비스,서비스
스마트횡단보도,서비스,서비스
스마트교차로,서비스,서비스
긴급상황우선신호,서비스,서비스
데이터비즈니스,서비스,서비스
구리,소재,소재
구리포일,소재,소재
그래핀,소재,소재
나트륨,소재,소재
니켈,소재,소재
니켈도금철,소재,소재
니켈코발트망간옥사이드,소재,소재
도전재,소재,소재
도펀트,소재,소재
러버,소재,소재
리튬,소재,소재
리튬금속,소재,소재
리튬니켈옥사이드,소재,소재
리튬망간산화물,소재,소재
리튬산소,소재,소재
리튬이온,소재,소재
리튬인산철,소재,소재
리튬카보네이트,소재,소재
리튬코발트옥사이드,소재,소재
리튬황,소재,소재
멀티콥터,소재,소재
메탈,소재,소재
바인더,소재,소재
솔벤트,소재,소재
실리콘,소재,소재
아연,소재,소재
알루미나,소재,소재
알루미늄,소재,소재
알루미늄포일,소재,소재
에스비알,소재,소재
인조흑연,소재,소재
일산화규소,소재,소재
전고체,소재,소재
전구체,소재,소재
천연흑연,소재,소재
촉매,소재,소재
코발트,소재,소재
탄소나노튜브,소재,소재
탄소섬유,소재,소재
탄화수소,소재,소재
프리프 레그,소재,소재
환형카보네이트,소재,소재
활물질,소재,소재
활성탄소,소재,소재
황화물계,소재,소재
흑연,소재,소재
가공소재,소재,소재
가교제,소재,소재
가교폴리에틸렌,소재,소재
가르시니아추출물,소재,소재
가소제,소재,소재
가시광촉매,소재,소재
갈락토,소재,소재
갈락토오스,소재,소재
갈락토올리고당,소재,소재
갈륨나이트라이드,소재,소재
감나무잎추출물,소재,소재
감태추출물,소재,소재
강화플라스틱,소재,소재
개량균주,소재,소재
개발물질,소재,소재
개선물질,소재,소재
개질수소,소재,소재
건강소재,소재,소재
건강식품원료,소재,소재
건축소재,소재,소재
게르마늄,소재,소재
결합단백질,소재,소재
결합물질,소재,소재
경량복합소재,소재,소재
경쟁물질,소재,소재
고단백질,소재,소재
고무및플라스틱,소재,소재
고무플라스틱,소재,소재
고밀도폴리에틸렌,소재,소재
고부가합성수지,소재,소재
고분자화합물,소재,소재
고정화효소,소재,소재
고품위탄산칼슘,소재,소재
고흡수성수지,소재,소재
고흡습성수지,소재,소재
곡류혼합효소분말,소재,소재
곡물발효효소소,소재,소재
골형성단백질,소재,소재
골형성촉진제,소재,소재
공액리놀레산,소재,소재
과산화수소,소재,소재
과황산화합물,소재,소재
광경화성수지,소재,소재
광물질,소재,소재
광소재,소재,소재
광전소재,소재,소재
광학부품소재,소재,소재
광학소재,소재,소재
구리화합물,소재,소재
구연산,소재,소재
구절초추출물,소재,소재
균원료,소재,소재
그람음성균,소재,소재
그레이수소,소재,소재
그린소재,소재,소재
그린수소,소재,소재
글루카곤,소재,소재
글루칸,소재,소재
글루코사민,소재,소재
글루코스,소재,소재
글루타르산,소재,소재
글루타미쿰,소재,소재
글루타민산나트륨,소재,소재
글루타치온,소재,소재
글루텐,소재,소재
글리세롤,소재,소재
글리세린,소재,소재
글리알세포,소재,소재
글리콜,소재,소재
글리콜라이드,소재,소재
글리틴,소재,소재
금나노입자,소재,소재
금속물질,소재,소재
금속세라믹플라스틱,소재,소재
금속소재,소재,소재
금속플라스틱,소재,소재
금잔화추출물,소재,소재
기계소재,소재,소재
기능소재,소재,소재
기본소재,소재,소재
기술장벽,소재,소재
기초소재,소재,소재
기초화학원료,소재,소재
기타물질,소재,소재
나노겔,소재,소재
나노섬유,소재,소재
나노섬유시트,소재,소재
나노섬유필름,소재,소재
나노세라믹입자,소재,소재
나노셀룰로오스,소재,소재
나노소재,소재,소재
나노실리카,소재,소재
나노에멀전,소재,소재
나노와이어,소재,소재
나노융합소재,소재,소재
나노이산화티타늄,소재,소재
나노이온소자,소재,소재
나노입자,소재,소재
나노잉크,소재,소재
나노자성,소재,소재
나노재료,소재,소재
나노전달체,소재,소재
나노젤,소재,소재
나노칼슘,소재,소재
나노탄소,소재,소재
나노탄소입자,소재,소재
나노튜브,소재,소재
나노파이버,소재,소재
나노파티클,소재,소재
나노플라스틱,소재,소재
나노흡착제,소재,소재
나이벡펩타이드,소재,소재
나일론,소재,소재
난연제,소재,소재
난연폴리카보네이트,소재,소재
내성억제물질,소재,소재
냉감소재,소재,소재
노카벤즈옥사졸,소재,소재
녹차추출물,소재,소재
다이옥사논,소재,소재
다이카르복시산,소재,소재
다중단백질,소재,소재
다탄소,소재,소재
다탄소화합물,소재,소재
단당류,소재,소재
단량체,소재,소재
단량체들,소재,소재
단백분해효소,소재,소재
단백질,소재,소재
단백질결합수용체,소재,소재
단백질구조,소재,소재
단백질분해효소,소재,소재
단백질원,소재,소재
단백질제,소재,소재
단분자,소재,소재
단소재,소재,소재
단위세포,소재,소재
단일소재,소재,소재
단일클론항체,소재,소재
담팥수추출물,소재,소재
당근추출물,소재,소재
당단백질,소재,소재
대마추출물,소재,소재
대보추출물,소재,소재
대사물질,소재,소재
대사질환치료물질,소재,소재
대체소재,소재,소재
대표소재,소재,소재
돌기단백질,소재,소재
동물원료,소재,소재
동박소재,소재,소재
동백추출물,소재,소재
디메틸카보네이트,소재,소재
디메틸포름아미드,소재,소재
디부틸프탈레이트,소재,소재
디옥시리보핵산,소재,소재
디이소시아네이트,소재,소재
디젤원료,소재,소재
라디칼고분자,소재,소재
라세라타균주,소재,소재
라우릭산,소재,소재
라탄소재,소재,소재
락트산,소재,소재
레티놀결합단백질,소재,소재
렉틴단백질,소재,소재
리그닌,소재,소재
리보핵산,소재,소재
리튬화합물,소재,소재
마늘추출물,소재,소재
마약원료,소재,소재
마이크로겔,소재,소재
마이크로리보핵산,소재,소재
마이크로반,소재,소재
마이크로입자,소재,소재
마이크로칩,소재,소재
마이크로캐리어,소재,소재
마이크로캡슐,소재,소재
막단백질,소재,소재
말론산,소재,소재
망고스틴추출물,소재,소재
메셀로스,소재,소재
메신저리보핵산,소재,소재
메타물질,소재,소재
메타크릴레이트,소재,소재
메틸렌디,소재,소재
메틸셀룰로스,소재,소재
면역관문물질,소재,소재
면역단백질,소재,소재
면역단백질들,소재,소재
면역물질,소재,소재
면역소재,소재,소재
면역신호물질,소재,소재
면역조절물질,소재,소재
모노에틸렌글리콜,소재,소재
목화소재,소재,소재
몽당잎모자반추출물,소재,소재
무기나노소재,소재,소재
무기소재,소재,소재
무기화합물,소재,소재
무수프탈산,소재,소재
무스프탈산,소재,소재
무탄소,소재,소재
무형광물질,소재,소재
무효소,소재,소재
미강발효추출물,소재,소재
미래소재,소재,소재
미래혁신소재,소재,소재
